Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================

  ╔════════════════════════════════════════════════════════╗
  ║  OVERFIT CHECK — single batch, 50 steps                    ║
  ╚════════════════════════════════════════════════════════╝
  step   1/50 [                    ] loss=4.6883  acc=0.023
  step  10/50 [▓▓▓▓                ] loss=2.2377  acc=0.633
  step  20/50 [▓▓▓▓▓▓▓▓            ] loss=0.3020  acc=1.000
  step  30/50 [▓▓▓▓▓▓▓▓▓▓▓▓        ] loss=0.0421  acc=1.000
  step  40/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓    ] loss=0.0167  acc=1.000
  step  50/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓] loss=0.0103  acc=1.000
  ✅ PASS — loss 0.0100 < 0.05, acc 1.000 > 0.90
  Ep 114 | lr 2.1e-04 | train 0.5225 acc 0.849 | test 1.4859 acc 0.6506
  Ep 115 | lr 2.1e-04 | train 0.5206 acc 0.848 | test 1.4775 acc 0.6486
  Ep 116 | lr 2.1e-04 | train 0.5200 acc 0.850 | test 1.4921 acc 0.6496
  Ep 117 | lr 2.1e-04 | train 0.5104 acc 0.851 | test 1.4986 acc 0.6459
  Ep 118 | lr 2.1e-04 | train 0.5078 acc 0.852 | test 1.5009 acc 0.6423
  Ep 119 | lr 2.1e-04 | train 0.5021 acc 0.854 | test 1.4711 acc 0.6522
  Ep 120 | lr 2.1e-04 | train 0.4953 acc 0.857 | test 1.4830 acc 0.6486
  Ep 121 | lr 2.0e-04 | train 0.4868 acc 0.860 | test 1.4768 acc 0.6509
  Ep 122 | lr 2.0e-04 | train 0.4912 acc 0.856 | test 1.4662 acc 0.6528
  Ep 123 | lr 2.0e-04 | train 0.4794 acc 0.860 | test 1.4755 acc 0.6518
  Ep 124 | lr 2.0e-04 | train 0.4750 acc 0.863 | test 1.4961 acc 0.6489
  Ep 125 | lr 2.0e-04 | train 0.4722 acc 0.864 | test 1.4805 acc 0.6465
  Ep 126 | lr 2.0e-04 | train 0.4697 acc 0.864 | test 1.4853 acc 0.6503
  Ep 127 | lr 1.9e-04 | train 0.4638 acc 0.867 | test 1.5400 acc 0.6443
  Ep 128 | lr 1.9e-04 | train 0.4713 acc 0.863 | test 1.4840 acc 0.6513
  Ep 129 | lr 1.9e-04 | train 0.4661 acc 0.864 | test 1.4865 acc 0.6513
  Ep 130 | lr 1.9e-04 | train 0.4516 acc 0.870 | test 1.5415 acc 0.6469
  Ep 131 | lr 1.9e-04 | train 0.4544 acc 0.869 | test 1.5069 acc 0.6502
  Ep 132 | lr 1.9e-04 | train 0.4404 acc 0.873 | test 1.4901 acc 0.6568
  Ep 133 | lr 1.9e-04 | train 0.4440 acc 0.873 | test 1.4830 acc 0.6554
